Tagname,TimeStamp,Value
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 12:38,10.165
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 12:43,10.089
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 12:48,9.899
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 12:53,9.796
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 12:58,9.654
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 13:03,9.885
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 13:08,10.055
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 13:13,9.774
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 13:18,10.031
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,09/16/2019 13:23,9.815
