Tagname,TimeStamp,Value
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 09:33:46,0.422
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 09:36:17,0.798
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 09:38:25,0.628
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 14:30:29,0
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 15:30:11,11.674
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 15:33:09,13.223
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:01:23,10.942
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:02:34,11.271
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:02:59,11.701
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:04:11,11.953
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:04:39,11.199
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:05:43,11.605
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:06:10,10.843
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:07:16,11.661
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:07:46,12.502
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:08:57,11.751
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:11:13,12.051
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:11:55,12.07
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:14:23,11.338
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:15:02,11.877
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:17:39,11.464
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:20:13,11.049
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:24:05,11.029
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:28:12,11.529
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:32:13,11.728
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:36:12,11.248
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:40:04,11.586
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:44:05,10.71
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:48:15,11.181
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:52:05,11.256
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 16:56:06,10.746
NIA33391_AB3_PREDICTED_AMMONIA.F_CV,4/2/2020 17:00:07,10.87
