Tagname,TimeStamp,Value
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:20,1.46
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:23,1.45
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:26,1.44
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:29,1.4325
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:35,1.425
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:41,1.4175
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:47,1.4225
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:53,1.43
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:28:59,1.44
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:05,1.445
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:11,1.44
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:17,1.43
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:20,1.425
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:23,1.4175
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:26,1.405
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:30,1.3975
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:36,1.3925
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,4/21/2020 15:29:57,1.385
