Tagname,TimeStamp,Value
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:06:23,12.7
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:06:24,11.925
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:08:08,11.925
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:08:09,11.075
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:09:54,11.075
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:09:55,10.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:14:04,10.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:14:05,9.700001
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:17:44,9.700001
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:17:45,10.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:20:30,10.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:20:31,11.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:23:10,11.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:23:11,12.125
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:23:14,12.325
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:23:49,12.325
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:23:50,13.125
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:25:23,13.125
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:25:24,13.95
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,3/30/2020 09:30:24,13.95
