Tagname,TimeStamp,Value
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:32,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:35,109.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:39,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:44,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:47,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:53,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:12:56,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:02,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:05,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:08,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:14,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:17,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:41,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:47,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:13:56,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:12,106.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:17,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:20,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:26,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:29,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:41,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:44,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:48,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:14:57,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:15:02,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:15:11,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:15:23,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:15:33,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,3/9/2020 09:15:48,104.4
