Tagname,TimeStamp,Value
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:56:52,8.139999
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:56:55,8.195
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:56:58,8.16
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:01,8.099999
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:04,8.07
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:07,8.08
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:10,8.04
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:13,7.99
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:16,8
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:22,7.99
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:28,7.96
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:34,8
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:37,8.01
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:40,7.98
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:50,7.95
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:53,7.985
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:57:59,7.96
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:02,7.94
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:11,7.93
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:14,7.905
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:20,7.865
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:32,7.89
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:35,7.94
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:38,7.905
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:44,7.89
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:47,7.94
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:50,7.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:58:53,7.885
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:04,7.885
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:05,7.94
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:08,7.975
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:23,7.965
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:32,7.93
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:35,7.96
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:41,7.93
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:47,7.96
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:58,7.96
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 14:59:59,8.03
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:02,8.05
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:05,8.11
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:08,8.12
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:11,8.15
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:14,8.139999
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:17,8.215
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:29,8.2
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:32,8.184999
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:35,8.17
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:00:41,8.184999
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:01:03,8.22
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:01:06,8.28
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:01:09,8.29
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:01:17,8.29
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:01:18,8.22
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,4/7/2020 15:01:21,8.15
