Tagname,TimeStamp,Value
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:14,23.82
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:15,23.67
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:18,23.61
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:23,23.61
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:24,23.76
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:30,23.73
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:33,23.7
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:39,23.775
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:42,23.955
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:45,23.91
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,4/21/2020 09:46:48,23.835
