Tagname,TimeStamp,Value
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:15,6.315
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:16,6.18
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:19,6.21
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:25,6.165
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:28,6.225
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:31,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:34,6.225
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:37,6.135
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:40,6.21
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:54:49,6.18
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:01,6.21
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:04,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:07,6.225
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:10,6.18
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:14,6.21
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:17,6.105
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:20,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:23,6.09
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:26,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:29,6.09
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:32,6.12
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:35,6.075
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:38,6.12
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:44,6.075
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:47,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:50,6.09
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:53,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:56,6.105
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:55:59,6.165
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:02,6.09
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:05,6.165
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:08,6.09
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:11,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:16,6.15
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:17,6.435
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:23,6.375
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:26,6.42
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:29,6.375
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:35,6.345
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:38,6.39
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:44,6.42
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:47,6.345
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:50,6.42
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:53,6.36
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:56,6.42
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:56:59,6.345
WWSCADA2.NIR33392_AB3_Z9_NITRATE.F_CV,4/3/2020 13:57:02,6.39
