Tagname,TimeStamp,Value
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:04,0.5925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:07,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:10,0.61
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:13,0.605
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:22,0.595
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:25,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:31,0.595
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:37,0.605
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:43,0.5925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:46,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:55,0.6125
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:41:58,0.6
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:07,0.5925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:10,0.605
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:16,0.61
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:19,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:28,0.5925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:31,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:40,0.595
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:46,0.605
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:49,0.61
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:52,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:42:55,0.595
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:01,0.605
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:10,0.595
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:16,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:36,0.6025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:37,0.64
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:55,0.6475
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,4/12/2020 18:43:58,0.6375
