Tagname,TimeStamp,Value
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:43,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:46,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:48,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:51,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:52,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:53,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:54,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:54:55,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:04,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:07,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:08,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:11,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:12,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:15,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:23,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:30,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:39,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:40,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:42,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:43,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:44,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:51,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:53,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:55,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:55:58,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:56:00,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:56:03,6.55
WWSCADA2.NR4242.F_CV,4/8/2020 20:56:05,6.54
WWSCADA2.NR4242.F_CV,4/8/2020 20:56:07,6.57
WWSCADA2.NR4242.F_CV,4/8/2020 20:56:17,6.59
